Año;jugador;pais;liga;club;edad;posicion;campeon liga;campeon copa;campeon champions;otra competencia;posicion mundial;goles;asistencias;Partidos jugados;Titulos;Premios Individuales ;euro, copa América;Partido o competencia que lo potencia
1956;Stanley Matthews;Inglaterra;Inglaterra;Blackpool;41;Delantero;;;;;X;;;;;;;Inglaterra 4-2 Brasil, Wembley
1957;Alfredo Di Stefano;España;España;Real Madrid;31;Delantero;;;;copa Latina;X;;;;;;;
1958;Raymond Kopa;Francia;España;Real Madrid;27;Delantero;;;;;3;;;;;;;
1959;Alfredo Di Stefano;España;España;Real Madrid;33;Delantero;;;;;x;;;;;;;
1960;Luis Suárez ;España;España;Barcelona;25;Delantero;;;;;x;;;;;;;
1961;Omar Sivori;Italia;Italia;Juventus;26;Delantero;;;;;x;;;;;;;
1962;Josef Masopust;Checoslovaquia;Checoslovaquia;FK Dukla Praga;31;Mediocampista;;;;;2;;;;;;;
1963;Lev Yashin;Union Sovietica;Union Sovietica;FK Dinamo Moscu;34;Arquero;;;;;x;;;;;;;
1964;Denis Law;Escocia;Inglaterra;Manchester United;24;Delantero;;;;;x;;;;;;;
1965;Eusebio;Portugal;Portugal;Benfica;23;Delantero;;;;;x;;;;;;;
1966;Bobby Charlton;Inglaterra;Inglaterra;Manchester United;29;Mediocampista;;;;;Campeon;;;;;;;
1967;Florian Albert;Hungria;Hungria;Ferencvaros;26;Delantero;;;;;x;;;;;;;
1968;George Best;Irlanda del Norte;Inglaterra;Manchester United;22;Delantero;;;;;x;;;;;;;
1969;Gianni Rivera;Italia;Italia;AC Milan;26;Mediocampista;;;;;x;;;;;;;
1970;Gerd Muller;Alemania;Alemania;Bayern Múnich;25;Delantero;;;;;3;;;;;;;
1971;Johan Cruyff;Paises Bajos;Paises Bajos;Ajax;24;Mediocampista;;;;;x;;;;;;;
1972;Franz Beckenbauer;Alemania;Alemania;Bayern Múnich;27;Defensa;;;;;x;;;;;;;
1973;Johan Cruyff;Paises Bajos;Paises Bajos/España;Ajax/Barcelona;26;Mediocampista;;;;;x;;;;;;;
1974;Johan Cruyff;Paises Bajos;España;Barcelona;27;Mediocampista;;;;;2;;;;;;;
1975;Oleg blojin;Union Sovietica;Union Sovietica;FK Dynamo Kiev;23;Delantero;;;;;x;;;;;;;
1976;Franz Beckenbauer;Alemania;Alemania;Bayern Múnich;31;Defensa;;;;;x;;;;;;;
1977;Allan Simonsen;Dinamarca;Alemania;Borussia Monchengladbach;24;Delantero;;;;;x;;;;;;;
1978;Kevin Keegan;Inglaterra;Alemania;Hamburgo;27;Delantero;;;;;no participo;;;;;;;
1979;Kevin Keegan;Inglaterra;Alemania;Hamburgo;28;Delantero;;;;;X;;;;;;;
1980;Karl-Heinz Rummenigge;Alemania;Alemania;Bayern Múnich;25;Delantero;;;;;x;;;;;;;
1981;Karl-Heinz Rummenigge;Alemania;Alemania;Bayern Múnich;26;Delantero;;;;;x;;;;;;;
1982;Paolo Rossi;Italia;Italia;Juventus;26;Delantero;;;;;Campeon;;;;;;;
1983;Michel Platini;Francia;Italia;Juventus;28;Mediocampista;;;;;x;;;;;;;
1984;Michel Platini;Francia;Italia;Juventus;29;Mediocampista;;;;;x;;;;;;;
1985;Michel Platini;Francia;Italia;Juventus;30;Mediocampista;;;;;x;;;;;;;
1986;Igor Belanov;Union Sovietica;Union Sovietica;FK Dynamo Kiev;26;Delantero;;;;;10;;;;;;;
1987;Ruud Gullit;Paises Bajos;Paises Bajos/Italia;PSV/Milan;25;Mediocampista;;;;;x;;;;;;;
1988;Marco Van Basten;Paises Bajos;Italia;Milan;24;Delantero;;;;;x;;;;;;;
1989;Marco Van Basten;Paises Bajos;Italia;Milan;25;Delantero;;;;;x;;;;;;;
1990;Lothar Matthaus;Alemania;Italia;Inter;29;Mediocampista;;;;;Campeon;;;;;;;
1991;Jean-Pierre Papin;Francia;Francia;Olympique Marsella;28;Delantero;;;;;x;;;;;;;
1992;Marco Van Basten;Paises Bajos;Italia;Milan;28;Delantero;;;;;x;;;;;;;
1993;Roberto Baggio;Italia;Italia;Juventus;26;Delantero;;;;;x;;;;;;;
1994;Hristo Stoichkov;Bulgaria;España;Barcelona;28;Delantero;;;;;4;;;;;;;
1995;George Weah;Liberia;Francia/Italia;PSG/Milan;29;Delantero;;;;;x;;;;;;;
1996;Matthias Sammer;Alemania;Alemania;Borussia Dortmund ;29;Defensa;;;;;x;;;;;;;
1997;Ronaldo;Brasil;España/Italia;Barcelona/Inter;21;Delantero;;;;;x;;;;;;;
1998;Zinedine Zidane;Francia;Italia;Juventus;26;Mediocampista;;;;;campeon;;;;;;;
1999;Rivaldo;Brasil;España;Barcelona;27;Delantero;;;;;x;;;;;;;
2000;Luis Figo;Portugal;España;Barcelona/Real Madrid;28;Delantero;;;;;x;;;;;;;
2001;Michael Owen;Inglaterra;Inglaterra;Liverpool;22;Delantero;;;;;x;;;;;;;
2002;Ronaldo;Brasil;Italia/España;Inter/Real Madrid;26;Delantero;;;;;campeon;;;;;;;
2003;Pavel Nevded;Chequia;Italia;Juventus;31;Mediocampista;;;;;x;;;;;;;
2004;Andriy Shevchenko;Ucrania;Italia;Milan;28;Delantero;;;;;x;;;;;;;
2005;Ronaldinho;Brasil;España;Barcelona;25;Mediocampista;;;;confederaciones, ;x;;;;;;;
2006;Fabio Cannavaro;Italia;Italia/España;Juventus/Real Madrid;33;Defensa;;;;;campeon;;;;;;;
2007;Kaka;Brasil;Italia;Milan;25;Mediocampista;;;;supercopa euro, mundial de clubes;x;;;;;;;
2008;Cristiano Ronaldo;Portugal;Inglaterra;Manchester United;23;Delantero;;;;community shield, mundial clubes;x;;;;;;;
2009;Lionel Messi;Argentina;España;Barcelona;22;Delantero;;;;supercopa esp y euro, mundial clubes;x;;;;;;;
2010;Lionel Messi;Argentina;España;Barcelona;23;Delantero;;;;supercopa españa;5;;;;;;;
2011;Lionel Messi;Argentina;España;Barcelona;24;Delantero;;;;supercopa esp y euro, mundial clubes;X;;;;;;;
2012;Lionel Messi;Argentina;España;Barcelona ;25;Delantero;;;;;x;;;;;;;
2013;Cristiano Ronaldo;Portugal;España;Real Madrid;28;Delantero;;;;;x;;;;;;;
2014;Cristiano Ronaldo;Portugal;España;Real Madrid;29;Delantero;;;;mundial clubes, supercopa europa;18;;;;;;;
2015;Lionel Messi;Argentina;España;Barcelona;28;Delantero;;;;supercopa euro, mundial de clubes;x;;;;;;;
