Edición,Jugador,Posición final,Club,Posición ,Champions League,Título selección,Liga nacional,Otros títulos,Títulos totales
2000,Luís Figo,1,Real Madrid,Delantero,1,0,1,1,3
2000,Zinedine Zidane,2,Juventus,Mediocampista,0,0,0,0,0
2000,Andriy Shevchenko,3,AC Milan,Delantero,0,0,0,1,1
2001,Michael Owen,1,Liverpool,Delantero,0,0,0,1,1
2001,Raúl,2,Real Madrid,Delantero,0,0,1,1,2
2001,Oliver Kahn,3,Bayern Munich,Arquero,0,0,1,1,2
2002,Ronaldo,1,Real Madrid,Delantero,0,1,0,0,1
2002,Roberto Carlos,2,Real Madrid,Defensor,0,1,0,0,1
2002,Oliver Kahn,3,Bayern Munich,Arquero,0,0,1,1,2
2003,Pavel Nedvěd,1,Juventus,Mediocampista,0,0,1,0,1
2003,Thierry Henry,2,Arsenal,Delantero,0,0,1,1,2
2003,Paolo Maldini,3,AC Milan,Defensor,0,0,0,1,1
2004,Andriy Shevchenko,1,AC Milan,Delantero,0,0,1,0,1
2004,Deco,2,Barcelona,Mediocampista,1,0,0,1,2
2004,Ronaldinho,3,Barcelona,Delantero,0,0,0,0,0
2005,Ronaldinho,1,Barcelona,Delantero,0,0,1,1,2
2005,Frank Lampard,2,Chelsea,Mediocampista,0,0,1,1,2
2005,Steven Gerrard,3,Liverpool,Mediocampista,0,0,0,1,1
2006,Fabio Cannavaro,1,Real Madrid,Defensor,0,1,0,0,1
2006,Gianluigi Buffon,2,Juventus,Arquero,0,1,0,0,1
2006,Thierry Henry,3,Arsenal,Delantero,0,0,0,1,1
2007,Kaká,1,AC Milan,Mediocampista,1,0,0,1,2
2007,Lionel Messi,2,Barcelona,Delantero,0,0,0,0,0
2007,Cristiano Ronaldo,3,Manchester United,Delantero,0,0,1,1,2
2008,Cristiano Ronaldo,1,Manchester United,Delantero,1,0,1,1,3
2008,Lionel Messi,2,Barcelona,Delantero,0,0,0,0,0
2008,Fernando Torres,3,Liverpool,Delantero,0,1,0,0,1
2009,Lionel Messi,1,Barcelona,Delantero,1,0,1,1,3
2009,Cristiano Ronaldo,2,Real Madrid,Delantero,0,0,0,0,0
2009,Xavi,3,Barcelona,Mediocampista,1,0,1,1,3
2010,Lionel Messi,1,Barcelona,Delantero,0,0,1,1,2
2010,Andrés Iniesta,2,Barcelona,Mediocampista,0,1,1,1,3
2010,Xavi,3,Barcelona,Mediocampista,0,1,1,1,3
2011,Lionel Messi,1,Barcelona,Delantero,1,0,1,1,3
2011,Cristiano Ronaldo,2,Real Madrid,Delantero,0,0,0,1,1
2011,Xavi,3,Barcelona,Mediocampista,1,0,1,1,3
2012,Lionel Messi,1,Barcelona,Delantero,0,0,0,1,1
2012,Cristiano Ronaldo,2,Real Madrid,Delantero,0,0,1,0,1
2012,Andrés Iniesta,3,Barcelona,Mediocampista,0,1,0,1,2
2013,Cristiano Ronaldo,1,Real Madrid,Delantero,0,0,0,0,0
2013,Lionel Messi,2,Barcelona,Delantero,0,0,1,0,1
2013,Franck Ribéry,3,Bayern Munich,Mediocampista,1,0,1,1,3
2014,Cristiano Ronaldo,1,Real Madrid,Delantero,1,0,0,1,2
2014,Lionel Messi,2,Barcelona,Delantero,0,0,0,0,0
2014,Manuel Neuer,3,Bayern Munich,Arquero,0,1,1,1,3
2015,Lionel Messi,1,Barcelona,Delantero,1,0,1,1,3
2015,Cristiano Ronaldo,2,Real Madrid,Delantero,0,0,0,0,0
2015,Neymar,3,Barcelona,Delantero,1,0,1,1,3
2016,Cristiano Ronaldo,1,Real Madrid,Delantero,1,1,0,1,3
2016,Lionel Messi,2,Barcelona,Delantero,0,0,1,1,2
2016,Antoine Griezmann,3,Atlético de Madrid,Delantero,0,0,0,0,0
2017,Cristiano Ronaldo,1,Real Madrid,Delantero,1,0,1,1,3
2017,Lionel Messi,2,Barcelona,Delantero,0,0,1,1,2
2017,Neymar,3,Barcelona / PSG,Delantero,0,0,0,1,1
2018,Luka Modrić,1,Real Madrid,Mediocampista,1,1,0,1,3
2018,Cristiano Ronaldo,2,Real Madrid / Juventus,Delantero,1,0,0,1,2
2018,Antoine Griezmann,3,Atlético de Madrid,Delantero,0,1,0,1,2
2019,Lionel Messi,1,Barcelona,Delantero,0,0,1,1,2
2019,Virgil van Dijk,2,Liverpool,Defensor,1,0,0,1,2
2019,Cristiano Ronaldo,3,Juventus,Delantero,0,0,1,0,1
2021,Lionel Messi,1,Barcelona / PSG,Delantero,0,1,0,0,1
2021,Robert Lewandowski,2,Bayern Munich,Delantero,0,0,1,1,2
2021,Jorginho,3,Chelsea,Mediocampista,1,1,0,1,3
2022,Karim Benzema,1,Real Madrid,Delantero,1,0,1,1,3
2022,Sadio Mané,2,Liverpool,Delantero,0,1,0,1,2
2022,Kevin De Bruyne,3,Manchester City,Mediocampista,0,0,1,0,1
2023,Lionel Messi,1,Inter Miami,Delantero,0,1,0,0,1
2023,Erling Haaland,2,Manchester City,Delantero,1,0,1,1,3
2023,Kylian Mbappé,3,Paris Saint-Germain,Delantero,0,0,1,1,2
2024,Rodri,1,Manchester City,Mediocampista,0,1,1,0,2
2024,Vinícius Júnior,2,Real Madrid,Delantero,1,0,1,1,3
2024,Jude Bellingham,3,Real Madrid,Mediocampista,1,0,1,1,3
2025,Ousmane Dembélé,1,Paris Saint-Germain,Delantero,1,0,1,1,3
2025,Lamine Yamal,2,Barcelona,Delantero,0,0,1,1,2
2025,Vitinha,3,Paris Saint-Germain,Mediocampista,1,0,1,1,3
